post_id,creator_handle,creator_category,followers_at_post,post_date,post_hour,content_format,video_length_sec,hashtag_count,views,likes,comments,shares,avg_watch_time_sec,completion_rate_pct
TT0090,ellastudies,studytok,25408,2025-09-27,19,tutorial,49,4,25376,1752,85,151,26.0,56.2
TT0091,ellastudies,studytok,25664,2025-09-30,2,tutorial,52,6,16716,760,55,107,30.5,59.3
TT0092,ellastudies,studytok,25342,2025-10-01,12,storytime,40,1,6794,271,27,24,19.7,50.6
TT0093,ellastudies,studytok,26081,2025-10-02,16,challenge,38,2,13669,708,47,58,20.9,60.3
TT0094,ellastudies,studytok,25685,2025-10-04,14,listicle,33,4,21595,861,92,165,14.5,47.8
TT0095,ellastudies,studytok,25687,2025-10-06,7,tutorial,29,2,16970,820,91,98,20.9,69.6
TT0096,ellastudies,studytok,25719,2025-10-08,17,vlog,32,2,11173,672,20,46,15.6,53.0
TT0097,ellastudies,studytok,26194,2025-10-09,10,challenge,57,7,5790,339,41,71,36.5,65.5
TT0098,ellastudies,studytok,26609,2025-10-12,20,listicle,34,4,15571,902,93,172,18.2,57.2
TT0099,ellastudies,studytok,26228,2025-10-30,17,challenge,44,4,8224,382,39,58,20.3,47.2
TT0100,ellastudies,studytok,26285,2025-11-08,17,challenge,41,5,16815,982,36,178,20.8,56.4
TT0101,fitwithfia,fitness,24564,2025-09-01,7,tutorial,31,5,8860,369,23,42,18.4,59.7
TT0102,fitwithfia,fitness,25579,2025-09-03,5,vlog,23,3,21107,1442,88,122,17.9,75.8
TT0103,fitwithfia,fitness,25288,2025-09-08,0,vlog,32,2,21781,1660,98,73,18.1,62.3
TT0104,fitwithfia,fitness,25938,2025-09-12,18,challenge,37,2,21990,1389,59,245,22.6,65.3
TT0105,fitwithfia,fitness,25817,2025-09-13,6,before_after,36,3,25528,1973,64,197,28.3,71.9
TT0106,fitwithfia,fitness,26456,2025-09-18,15,challenge,29,5,16630,1274,29,135,19.9,74.2
TT0107,fitwithfia,fitness,27272,2025-09-20,19,tutorial,23,3,11187,780,51,78,16.1,65.0
TT0108,fitwithfia,fitness,26989,2025-09-24,7,challenge,50,2,23469,1351,97,282,27.4,60.1
TT0109,fitwithfia,fitness,27425,2025-09-25,8,challenge,32,2,38444,2550,165,297,19.4,62.6
TT0110,fitwithfia,fitness,27888,2025-09-26,7,storytime,33,3,24710,1109,74,76,20.6,58.8
TT0111,fitwithfia,fitness,28229,2025-10-02,7,storytime,27,2,6543,339,17,43,22.2,75.3
TT0112,fitwithfia,fitness,28655,2025-10-12,2,before_after,20,4,13951,960,51,131,12.4,69.1
TT0113,fitwithfia,fitness,28964,2025-10-14,8,challenge,38,4,18649,1586,41,281,23.1,61.0
TT0114,fitwithfia,fitness,28923,2025-10-17,5,tutorial,25,4,13655,805,21,66,15.6,62.1
TT0115,fitwithfia,fitness,29296,2025-10-30,5,storytime,39,3,38018,2898,74,321,29.2,79.9
TT0116,fitwithfia,fitness,29575,2025-11-03,6,storytime,45,2,7241,316,31,44,21.8,48.8
TT0117,fitwithfia,fitness,29713,2025-11-04,6,before_after,25,2,11416,962,41,127,18.5,75.4
TT0118,fitwithfia,fitness,29965,2025-11-05,5,challenge,39,3,19055,1269,40,125,23.0,55.1
TT0119,fitwithfia,fitness,30232,2025-11-06,18,challenge,38,4,24408,2078,154,245,27.7,68.3
TT0120,fitwithfia,fitness,30250,2025-11-08,11,tutorial,23,2,16217,763,101,113,13.8,64.7
TT0121,gracethrifts,fashion,18020,2025-09-03,17,challenge,26,6,8336,640,51,117,18.3,71.8
TT0122,gracethrifts,fashion,18235,2025-09-09,17,tutorial,28,3,11395,593,48,53,15.5,54.5
TT0123,gracethrifts,fashion,18016,2025-09-11,12,challenge,47,2,3038,180,24,36,30.5,60.4
TT0124,gracethrifts,fashion,18360,2025-09-13,19,tutorial,34,4,23549,1423,82,211,23.3,64.3
TT0125,gracethrifts,fashion,17959,2025-09-18,20,review,33,4,6206,352,8,28,21.1,59.9
TT0126,gracethrifts,fashion,18563,2025-09-19,18,before_after,34,3,12430,1020,33,143,32.1,86.0
TT0127,gracethrifts,fashion,18438,2025-09-23,22,review,42,3,3700,155,15,14,24.2,53.7
TT0128,gracethrifts,fashion,18657,2025-09-25,19,challenge,39,5,10818,672,18,81,23.7,67.6
TT0129,gracethrifts,fashion,18638,2025-09-27,19,challenge,29,4,24224,1906,122,279,17.5,66.8
TT0130,gracethrifts,fashion,19134,2025-09-29,21,challenge,45,2,5368,358,25,32,22.9,55.1
TT0131,gracethrifts,fashion,18985,2025-09-30,20,before_after,16,4,12970,959,84,105,15.7,96.0
TT0132,gracethrifts,fashion,18769,2025-10-07,17,review,39,4,12155,1114,25,91,27.3,65.0
TT0133,gracethrifts,fashion,19113,2025-10-12,21,challenge,48,6,8203,660,26,88,33.2,67.8
TT0134,gracethrifts,fashion,19497,2025-10-14,1,challenge,36,5,9101,609,30,89,21.2,61.8
TT0135,gracethrifts,fashion,19156,2025-10-15,17,review,40,6,6009,166,11,24,22.0,55.4
TT0136,gracethrifts,fashion,19189,2025-10-22,17,vlog,38,2,9127,420,39,47,16.9,48.9
TT0137,gracethrifts,fashion,19397,2025-10-25,20,review,45,2,17927,945,73,54,21.2,47.9
TT0138,gracethrifts,fashion,19360,2025-10-27,19,challenge,39,6,9595,495,18,66,26.1,72.6
TT0139,gracethrifts,fashion,19508,2025-11-01,19,challenge,38,4,12825,670,45,114,27.1,69.0
TT0140,gracethrifts,fashion,19789,2025-11-08,20,review,40,1,5210,278,16,24,23.5,65.0
TT0141,hypewithhari,comedy,140008,2025-09-02,3,challenge,34,4,31568,2094,116,298,23.5,63.6
TT0142,hypewithhari,comedy,140490,2025-09-06,20,challenge,37,4,94998,8516,297,1355,29.8,75.6
TT0143,hypewithhari,comedy,141108,2025-09-08,19,duet,14,3,46823,3512,216,362,12.9,96.0
TT0144,hypewithhari,comedy,141363,2025-09-12,20,vlog,35,6,105632,8300,771,571,21.0,60.2
TT0145,hypewithhari,comedy,141051,2025-09-13,21,challenge,37,4,41053,2197,293,366,22.0,58.3
TT0146,hypewithhari,comedy,142354,2025-09-14,20,skit,20,3,206865,18501,1101,1115,16.1,73.4
TT0147,hypewithhari,comedy,143450,2025-09-16,20,challenge,32,6,45740,2672,269,527,21.6,62.5
TT0148,hypewithhari,comedy,143208,2025-09-17,18,storytime,31,1,25438,1556,166,218,22.1,75.2
TT0149,hypewithhari,comedy,143516,2025-09-22,19,skit,32,5,128076,10148,889,1152,22.6,70.2
TT0150,hypewithhari,comedy,142965,2025-09-26,20,duet,26,4,151912,7147,792,1548,16.7,70.9
TT0151,hypewithhari,comedy,144804,2025-09-27,20,vlog,38,3,84928,6468,709,650,18.5,52.4
TT0152,hypewithhari,comedy,143578,2025-10-01,19,challenge,34,6,124685,8443,551,1403,24.6,71.5
TT0153,hypewithhari,comedy,144917,2025-10-07,21,challenge,46,4,198565,14678,2523,2953,25.6,58.6
TT0154,hypewithhari,comedy,146084,2025-10-09,22,challenge,33,3,50421,3955,355,543,20.9,61.8
TT0155,hypewithhari,comedy,147115,2025-10-12,20,skit,17,1,254556,19785,1620,2680,14.2,78.1
TT0156,hypewithhari,comedy,146932,2025-10-22,21,skit,23,0,167494,13135,1165,1453,19.2,81.3
TT0157,hypewithhari,comedy,145947,2025-10-26,11,duet,21,0,62508,4423,418,616,17.9,79.2
TT0158,hypewithhari,comedy,144207,2025-10-28,8,challenge,48,3,141326,10559,778,1280,39.7,76.9
TT0159,hypewithhari,comedy,149447,2025-11-02,19,skit,30,3,58497,5176,425,273,22.3,77.7
TT0160,hypewithhari,comedy,145953,2025-11-07,20,skit,14,4,91239,8154,590,1252,11.3,84.5
TT0161,islasnaps,beauty,95858,2025-09-01,21,tutorial,32,5,69922,3913,303,416,18.4,56.9
TT0162,islasnaps,beauty,95028,2025-09-05,20,listicle,26,4,51943,4052,101,895,21.4,75.7
TT0163,islasnaps,beauty,98210,2025-09-10,11,tutorial,40,4,26047,1807,110,149,24.4,64.3
TT0164,islasnaps,beauty,100052,2025-09-14,19,vlog,32,3,45286,3281,252,249,26.0,74.1
TT0165,islasnaps,beauty,102852,2025-09-17,19,vlog,41,3,52258,4184,288,377,32.4,74.0
TT0166,islasnaps,beauty,104480,2025-09-18,19,tutorial,32,4,352568,17608,1105,1446,19.3,67.0
TT0167,islasnaps,beauty,103174,2025-09-19,17,tutorial,28,0,59170,3681,129,378,21.7,75.0
TT0168,islasnaps,beauty,106039,2025-09-20,4,listicle,37,5,63321,3767,218,659,28.4,77.8
TT0169,islasnaps,beauty,107758,2025-09-21,22,tutorial,40,2,21393,1180,81,111,11.2,29.8
TT0170,islasnaps,beauty,109701,2025-09-24,21,tutorial,37,5,54410,3619,227,183,20.6,52.9
TT0171,islasnaps,beauty,110844,2025-09-26,18,vlog,31,2,37341,2052,64,254,23.7,69.8
TT0172,islasnaps,beauty,113588,2025-09-29,19,before_after,27,5,106593,6987,647,619,20.3,70.7
TT0173,islasnaps,beauty,116240,2025-10-05,20,before_after,31,2,65208,5521,126,671,26.9,82.2
TT0174,islasnaps,beauty,117219,2025-10-09,5,listicle,24,5,46178,3236,211,440,17.4,77.6
TT0175,islasnaps,beauty,117658,2025-10-16,17,listicle,31,5,84289,4455,109,875,16.0,55.5
TT0176,islasnaps,beauty,119311,2025-10-27,18,tutorial,16,3,141394,10014,625,1667,12.3,81.1
TT0177,islasnaps,beauty,120891,2025-10-31,2,tutorial,34,3,46731,3546,202,284,23.3,66.1
TT0178,islasnaps,beauty,123154,2025-11-01,22,review,36,2,32577,1715,142,102,23.4,64.3
TT0179,islasnaps,beauty,123784,2025-11-06,19,review,50,2,45285,2434,173,270,23.1,44.6
TT0180,islasnaps,beauty,127075,2025-11-09,20,before_after,35,4,151820,11832,422,1254,28.0,74.0
TT0181,jamieplays,gaming,95590,2025-09-05,21,duet,22,4,58242,3301,300,699,16.0,70.9
TT0182,jamieplays,gaming,97349,2025-09-08,21,duet,21,2,75335,3871,391,410,14.3,65.0
TT0183,jamieplays,gaming,97838,2025-09-11,23,listicle,34,3,116635,5291,483,681,17.8,54.8
TT0184,jamieplays,gaming,100448,2025-09-13,12,challenge,41,3,89991,5135,371,859,28.5,69.4
TT0185,jamieplays,gaming,102442,2025-09-14,4,storytime,28,5,40830,2752,88,148,19.4,69.8
TT0186,jamieplays,gaming,103800,2025-09-17,22,storytime,33,2,33420,924,79,124,14.8,49.5
TT0187,jamieplays,gaming,105186,2025-09-18,20,listicle,28,3,126613,6903,644,863,16.6,63.6
TT0188,jamieplays,gaming,105647,2025-09-21,22,challenge,29,5,58710,3557,373,608,15.8,59.7
TT0189,jamieplays,gaming,106945,2025-10-01,19,challenge,49,4,42062,2301,236,424,22.7,45.8
TT0190,jamieplays,gaming,110319,2025-10-03,20,review,42,4,24286,1294,143,186,20.7,52.7
TT0191,jamieplays,gaming,110394,2025-10-06,20,storytime,32,2,77180,2760,183,173,16.1,54.7
TT0192,jamieplays,gaming,114206,2025-10-10,20,storytime,48,6,73340,2732,297,330,30.7,61.5
TT0193,jamieplays,gaming,113930,2025-10-15,19,challenge,38,5,93880,5068,636,878,22.3,58.6
TT0194,jamieplays,gaming,116949,2025-10-16,19,listicle,38,5,113493,6223,539,1162,20.7,50.5
TT0195,jamieplays,gaming,117881,2025-10-18,22,storytime,29,5,66283,3701,239,285,19.3,67.9
TT0196,jamieplays,gaming,119841,2025-10-20,21,listicle,27,4,73158,3549,405,746,19.4,71.7
TT0197,jamieplays,gaming,120144,2025-10-24,23,review,26,3,59991,3955,272,431,19.6,70.9
TT0198,jamieplays,gaming,124546,2025-10-28,22,challenge,20,6,128845,7577,894,830,14.3,79.0
TT0199,jamieplays,gaming,123795,2025-11-02,23,listicle,29,6,114767,5728,417,1179,18.7,60.3
TT0200,jamieplays,gaming,127798,2025-11-03,21,listicle,17,5,57180,3279,283,552,14.0,81.2
TT0201,kitchenkai,food,17998,2025-09-02,10,listicle,30,6,11971,526,42,103,18.1,59.6
TT0202,kitchenkai,food,18462,2025-09-09,10,listicle,48,6,11617,970,43,95,37.8,71.8
TT0203,kitchenkai,food,18664,2025-09-11,22,listicle,33,6,13898,487,29,82,24.8,75.7
TT0204,kitchenkai,food,18924,2025-09-17,22,tutorial,32,3,6781,421,30,68,20.4,69.9
TT0205,kitchenkai,food,19011,2025-09-19,12,before_after,34,1,9016,772,21,74,33.3,95.1
TT0206,kitchenkai,food,19687,2025-09-25,23,tutorial,28,5,7713,445,36,72,19.8,68.7
TT0207,kitchenkai,food,19650,2025-09-29,12,review,43,3,11246,998,42,84,40.3,85.6
TT0208,kitchenkai,food,20038,2025-10-01,19,tutorial,44,2,5088,249,18,24,26.0,61.0
TT0209,kitchenkai,food,20409,2025-10-05,12,review,40,2,11703,659,30,60,27.7,63.7
TT0210,kitchenkai,food,20193,2025-10-10,13,listicle,36,2,5917,328,34,60,17.4,50.3
TT0211,kitchenkai,food,20674,2025-10-11,13,review,28,3,12490,864,21,65,18.0,65.1
TT0212,kitchenkai,food,20860,2025-10-18,12,vlog,23,3,4425,344,26,58,15.3,63.1
TT0213,kitchenkai,food,21082,2025-10-21,15,before_after,26,2,15743,1134,32,125,15.7,57.3
TT0214,kitchenkai,food,21431,2025-10-22,17,review,59,2,12446,844,41,37,32.3,59.2
TT0215,kitchenkai,food,21802,2025-10-24,18,listicle,38,3,10131,553,40,89,22.6,56.0
TT0216,kitchenkai,food,22126,2025-10-25,11,listicle,24,3,24615,1965,60,267,17.6,76.9
TT0217,kitchenkai,food,22172,2025-10-26,13,before_after,21,2,6416,372,11,37,16.1,70.9
TT0218,kitchenkai,food,22919,2025-10-27,17,vlog,20,5,14110,578,47,62,12.5,66.7
TT0219,kitchenkai,food,22722,2025-10-29,10,tutorial,32,5,9612,564,21,62,18.5,62.0
TT0220,kitchenkai,food,22961,2025-11-03,12,review,33,3,21065,1065,33,63,21.0,61.7
TT0221,learnwithlena,studytok,318736,2025-09-03,22,challenge,42,4,90777,5064,188,578,26.7,61.3
TT0222,learnwithlena,studytok,322933,2025-09-05,20,listicle,45,5,239922,9304,1158,1722,19.5,43.9
TT0223,learnwithlena,studytok,330509,2025-09-07,17,listicle,38,5,190301,7637,527,1059,21.9,62.8
TT0224,learnwithlena,studytok,327157,2025-09-10,20,storytime,25,4,229291,9914,941,1052,20.1,87.2
TT0225,learnwithlena,studytok,327420,2025-09-20,17,tutorial,30,1,138998,7460,661,838,21.2,68.0
TT0226,learnwithlena,studytok,327208,2025-09-23,15,listicle,33,6,419433,18468,534,2116,18.7,59.9
TT0227,learnwithlena,studytok,334512,2025-09-25,17,listicle,30,5,55092,2547,225,393,22.7,83.6
TT0228,learnwithlena,studytok,340912,2025-09-29,21,challenge,41,5,197941,9742,782,1842,24.5,57.9
TT0229,learnwithlena,studytok,338959,2025-09-30,20,tutorial,41,3,203046,12247,866,836,21.5,53.4
TT0230,learnwithlena,studytok,340812,2025-10-14,16,challenge,35,2,410990,22858,2425,3633,23.2,66.4
TT0231,learnwithlena,studytok,337934,2025-10-17,17,tutorial,45,1,202367,7759,540,444,19.2,39.5
TT0232,learnwithlena,studytok,338686,2025-10-18,5,tutorial,34,3,218192,10987,614,1623,19.2,59.2
TT0233,learnwithlena,studytok,350705,2025-10-22,20,storytime,28,3,240915,12673,699,1504,18.5,64.0
TT0234,learnwithlena,studytok,346307,2025-10-23,16,storytime,23,3,160239,8521,645,679,15.0,66.5
TT0235,learnwithlena,studytok,347170,2025-10-30,19,tutorial,34,2,91629,4888,343,531,20.2,55.4
TT0236,learnwithlena,studytok,351846,2025-11-01,16,tutorial,31,2,169000,11787,1033,627,21.0,74.5
TT0237,learnwithlena,studytok,351932,2025-11-04,14,challenge,45,2,82091,4574,282,490,22.8,55.0
TT0238,learnwithlena,studytok,352780,2025-11-05,17,vlog,38,4,240043,16549,1433,1018,26.1,65.3
TT0239,learnwithlena,studytok,357452,2025-11-06,19,storytime,24,2,265584,14098,1442,742,18.0,76.5
TT0240,learnwithlena,studytok,359798,2025-11-09,3,storytime,37,1,319647,9963,996,1417,18.8,51.7
TT0241,mariemakes,beauty,140957,2025-09-03,18,review,37,3,102711,4168,93,368,22.8,57.6
TT0242,mariemakes,beauty,139000,2025-09-06,20,before_after,39,5,93994,8869,472,908,29.8,78.1
TT0243,mariemakes,beauty,142700,2025-09-08,19,before_after,25,1,145524,8861,550,962,20.3,78.0
TT0244,mariemakes,beauty,143151,2025-09-14,2,vlog,41,4,36931,2431,135,211,20.0,53.2
TT0245,mariemakes,beauty,142881,2025-09-23,6,tutorial,34,3,62397,1769,139,205,22.8,61.8
TT0246,mariemakes,beauty,141080,2025-09-27,20,listicle,23,3,142401,9083,679,1356,18.7,85.7
TT0247,mariemakes,beauty,141786,2025-09-28,19,tutorial,32,1,53213,3318,78,487,25.0,82.5
TT0248,mariemakes,beauty,145279,2025-10-06,19,review,40,6,71779,4093,138,446,23.4,56.5
TT0249,mariemakes,beauty,145531,2025-10-08,3,listicle,40,4,54603,3802,293,476,24.6,59.5
TT0250,mariemakes,beauty,144881,2025-10-10,20,review,25,1,193122,13332,744,1080,16.8,63.9
TT0251,mariemakes,beauty,144884,2025-10-13,1,review,36,6,165663,7377,677,881,21.5,62.8
TT0252,mariemakes,beauty,144364,2025-10-15,17,listicle,42,6,107338,7303,596,948,27.1,66.7
TT0253,mariemakes,beauty,146120,2025-10-19,6,tutorial,34,0,60105,3322,220,341,19.7,53.4
TT0254,mariemakes,beauty,146230,2025-10-24,20,before_after,20,0,55911,3546,148,600,15.1,76.8
TT0255,mariemakes,beauty,147225,2025-10-31,8,vlog,36,2,52537,2899,139,310,20.3,56.1
TT0256,mariemakes,beauty,146093,2025-11-02,18,vlog,37,2,74960,5636,362,791,21.3,57.2
TT0257,mariemakes,beauty,149904,2025-11-06,19,tutorial,19,3,200943,10599,345,639,8.1,45.4
TT0258,mariemakes,beauty,149313,2025-11-07,20,tutorial,23,2,82253,5928,546,745,13.8,58.9
TT0259,mariemakes,beauty,150155,2025-11-08,17,review,35,0,62741,3857,249,452,25.5,71.3
TT0260,mariemakes,beauty,148881,2025-11-09,20,vlog,35,3,13431,573,28,70,16.6,51.9
TT0261,nateexplains,studytok,24886,2025-09-01,16,challenge,36,5,26728,1684,122,231,24.5,73.0
TT0262,nateexplains,studytok,25083,2025-09-02,21,challenge,42,7,11186,668,55,70,20.0,47.0
